Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
63 -  ECONOMIC DEVELOPMENT,63331 - EDD RE LEASES LICENSES,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,3967.60,1318.14,183.12,0.00
40 -  ENGINEERING,40123 - ENG STREETS INSPECT,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,3972.78,1038.84,95.30,2051.95
44 -  STREETS,44440 - ST STREET SWEEPING,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,3973.85,44.51,65.59,1261.59
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP,3976.00,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45205 - TE STLIGHT MAINTENANCE,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,3977.24,928.23,1282.31,0.00
45 -  TRAFFIC ENGINEERING,45501 - TE SIGNALS ADMIN,Expense,54 - PURCHASED SERVICES,54673 - LOCATING MARKING SERVICES,3977.65,4130.88,4456.04,5027.67
31 -  POLICE,31170 - ACADEMY,Expense,51 - SALARIES,51130 - WORKERS COMPENSATION WAGES,3983.57,0.00,0.00,0.00
44 -  STREETS,44441 - ST HAND SWEEPING,Expense,51 - SALARIES,51210 - HOURLY WAGES,3996.35,4431.84,880.56,3129.00
44 -  STREETS,44330 - ST SNOW PLOW AND SPREAD,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES,3999.53,2142.24,1851.39,2600.08
31 -  POLICE,31103 - COMMUNITY OUTREACH,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES,4000.00,4000.00,376.64,0.00
30 -  FIRE,30250 - FIRE INSPECTION GENERAL,Expense,54 - PURCHASED SERVICES,54525 - IN SERVICE TRAINING,4000.67,1404.13,1119.75,219.05
44 -  STREETS,44116 - ST TRANSFER STATION OTHER,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT,4017.33,4092.72,12242.88,4850.88
15 -  FINANCE,15111 - FIN ACCOUNTING PURCHASING,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,4019.07,10523.82,0.00,0.00
30 -  FIRE,30110707 - FIRE GEN FIELD OP STATION 7,Expense,54 - PURCHASED SERVICES,54113 - WATER,4025.20,4517.11,4682.16,4429.24
50 -  LIBRARY,50400753 - LIB FACILITIES ASHMAN,Expense,54 - PURCHASED SERVICES,54110 - NATURAL GAS,4025.37,3694.64,3731.22,3667.59
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,54 - PURCHASED SERVICES,54130 - SYSTEMS COMMUNICATION INTERNET,4032.00,0.00,0.00,0.00
31 -  POLICE,31165 - TRAINING SERVICES GENERAL,Expense,54 - PURCHASED SERVICES,54645 - CONSULTING SERVICES,4033.69,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45661 - TE SERVICES TRAFFIC DATA,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,4048.04,5414.27,5197.25,7354.00
62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,4048.12,2599.87,3370.11,2809.02
51 -  PARKS,51243 - PARK MTC CENTRAL PARKS,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT,4049.92,28.43,49.90,1299.20
45 -  TRAFFIC ENGINEERING,45662 - TE SERVICES COMPUTERIZED MAP,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,4060.28,9075.93,7900.32,5061.44
45 -  TRAFFIC ENGINEERING,45401 - TE COMM ADMIN,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4063.53,6988.15,2514.00,2282.04
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT,4065.14,2301.78,85.00,4714.80
60 -  BUILDING INSPECTION,60100 - BI INSPECTION,Expense,54 - PURCHASED SERVICES,54335 - SYSTEM AND SOFTWARE MAINTENANC,4075.00,2094.92,1800.00,3516.66
45 -  TRAFFIC ENGINEERING,45305 - TE PAVE MARK MAINTENANCE,Expense,53 - SUPPLIES,53450 - INVENTORY,4077.29,1416.93,77.31,0.00
40 -  ENGINEERING,40120 - ENG STREETS ADMIN,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,4081.36,2948.10,3048.00,589.08
62 -  COMMUNITY DEVELOPMENT,62112 - HOUSING ASSISTANCE GF,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT,4090.00,330.00,0.00,0.00
13 -  CLERK,13100 - CLERK,Expense,54 - PURCHASED SERVICES,54820 - COMMUNITY AGENCY CONTRACTS,4092.75,0.00,0.00,0.00
44 -  STREETS,44101 - ST SOLID WASTE ADMIN,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,4102.79,25901.98,277.87,2528.05
44 -  STREETS,44331 - ST SNOW REMOVAL HAULING,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4102.95,636.55,124.62,150.36
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Expense,53 - SUPPLIES,53450 - INVENTORY,4107.45,3198.74,3652.93,4733.19
30 -  FIRE,30112 - FIRE FITNESS WELLNESS,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,4109.92,347.78,0.00,2150.53
51 -  PARKS,51310 - PARK PLANNING DEVELOP ADMIN,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE,4110.98,4878.20,550.90,2120.24
44 -  STREETS,44110 - ST REFUSE COLLECTION,Expense,53 - SUPPLIES,53235 - SAFETY SUPPLIES,4113.18,3745.77,6662.05,5760.07
44 -  STREETS,44222 - ST DROP OFF SITES,Expense,57 - INTER DEPART CHARGES,57145 - ID CHARGE FROM TRAFFIC ENGINEE,4124.91,4514.28,3727.14,3390.37
11 -  ATTORNEY,11200 - ATTY LEGISLATIVE SERVICES,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS,4135.53,3403.27,3498.75,2154.50
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,4143.15,4517.69,6362.50,6290.48
12 -  CIVIL RIGHTS,12100 - CIVIL RIGHTS,Expense,53 - SUPPLIES,53150 - POSTAGE,4152.16,3943.66,5306.02,3334.64
31 -  POLICE,31155 - TRAFFIC AND SPECIAL SERVICES,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES,4157.61,0.00,0.00,70.00
60 -  BUILDING INSPECTION,60100 - BI INSPECTION,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,4157.73,6397.63,6328.41,6059.85
31 -  POLICE,31149 - TASK FORCE,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES,4164.88,0.00,0.00,0.00
15 -  FINANCE,15400 - FIN ADMIN SUPPORT,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE,4175.46,5187.98,4966.38,4306.18
62 -  COMMUNITY DEVELOPMENT,62224 - YOUTH EMPLMT OPPS AND TRAINING,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,4186.42,4006.11,10038.37,9368.61
40 -  ENGINEERING,40139 - ENG MEDIAN MAINTENANCE,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,4191.60,4978.73,4833.55,5196.13
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,54 - PURCHASED SERVICES,54335 - SYSTEM AND SOFTWARE MAINTENANC,4193.57,600.00,600.00,600.00
30 -  FIRE,30110701 - FIRE GEN FIELD OP STATION 1,Expense,54 - PURCHASED SERVICES,54113 - WATER,4195.04,5663.21,5917.63,4466.55
16 -  HUMAN RESOURCES,16100 - HR SERVICES,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE,4201.49,3426.47,3392.79,1199.83
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE,4207.54,4714.32,11171.28,0.00
44 -  STREETS,44223 - ST BRUSH COLLECTION,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,4213.42,4756.28,4309.07,5655.46
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,4222.75,15294.83,12596.70,10868.02
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,4227.17,6466.60,3918.52,4442.82
50 -  LIBRARY,50400756 - LIB FACILITIES MONROE,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY,4233.82,3865.61,3349.75,2969.29
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE,4238.27,4255.00,4732.47,1347.47
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,53 - SUPPLIES,53410 - MACHINERY AND EQUIPMENT,4242.50,5497.47,7161.66,0.00
50 -  LIBRARY,50100754 - LIB PUBLIC SERVICE LAKEVIEW,Expense,51 - SALARIES,51120 - PREMIUM PAY,4261.35,3499.22,4116.12,4219.97
31 -  POLICE,31200 - POLICE SUPPORT,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES,4262.19,4149.75,4040.56,3678.94
50 -  LIBRARY,50223759 - LIB COMM ENGAGE ADULT SMB,Expense,54 - PURCHASED SERVICES,54650 - ADVERTISING SERVICES,4269.00,0.00,0.00,0.00
31 -  POLICE,31166 - TRAINING CENTER,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,4273.21,0.00,0.00,0.00
11 -  ATTORNEY,11100 - ATTY ORDINANCE ENFORCEMENT,Expense,54 - PURCHASED SERVICES,54130 - SYSTEMS COMMUNICATION INTERNET,4280.69,6684.84,4629.07,6026.24
31 -  POLICE,31170 - ACADEMY,Expense,51 - SALARIES,51120 - PREMIUM PAY,4285.44,0.00,0.00,0.00
31 -  POLICE,31165 - TRAINING SERVICES GENERAL,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,4294.87,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,4300.36,2874.09,200.00,100.00
62 -  COMMUNITY DEVELOPMENT,62112 - HOUSING ASSISTANCE GF,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4300.76,4242.85,1473.70,5196.19
31 -  POLICE,31145 - INVESTIGATIVE SUPPORT GENERAL,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES,4310.00,0.00,0.00,22.59
11 -  ATTORNEY,11100 - ATTY ORDINANCE ENFORCEMENT,Expense,54 - PURCHASED SERVICES,54620 - LEGAL SERVICES,4310.71,4328.08,4602.93,3186.31
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE,4315.24,2970.72,3949.94,2045.21
31 -  POLICE,31130 - NORTH,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,4331.87,2663.08,2741.98,2708.11
40 -  ENGINEERING,40472 - ENG FAC MAINT CUSTODIAL SVCS,Expense,51 - SALARIES,51120 - PREMIUM PAY,4334.46,5492.50,5236.48,7324.15
45 -  TRAFFIC ENGINEERING,45101 - TE SIGNING ADMIN,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,4338.51,2271.93,2225.29,2363.87
62 -  COMMUNITY DEVELOPMENT,62330 - STRONG HEALTHY NBRHOODS GEN GF,Expense,51 - SALARIES,51110 - PERMANENT WAGES,4344.70,642.99,0.00,22451.34
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,4347.86,3799.25,3404.09,4530.09
40 -  ENGINEERING,40124 - ENG STREETS SURVEY,Expense,51 - SALARIES,51110 - PERMANENT WAGES,4356.16,3480.87,6133.47,2637.98
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE,4361.00,4821.00,6999.00,5110.00
50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Expense,54 - PURCHASED SERVICES,54113 - WATER,4361.18,5240.67,4873.22,4703.16
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES,4361.69,3963.57,1969.95,0.00
45 -  TRAFFIC ENGINEERING,45665 - TE SERVICES STREET OCCUPY PERM,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES,4367.41,0.00,4698.80,0.00
51 -  PARKS,51243 - PARK MTC CENTRAL PARKS,Expense,53 - SUPPLIES,53235 - SAFETY SUPPLIES,4368.84,2962.59,3124.74,4569.40
31 -  POLICE,31103 - COMMUNITY OUTREACH,Expense,51 - SALARIES,51120 - PREMIUM PAY,4376.57,0.00,0.00,0.00
11 -  ATTORNEY,11300 - ATTY COUNSEL REPRESENTATION,Expense,54 - PURCHASED SERVICES,54130 - SYSTEMS COMMUNICATION INTERNET,4378.52,8087.50,7647.05,7935.60
51 -  PARKS,51241 - PARK MTC EAST PARKS,Expense,53 - SUPPLIES,53235 - SAFETY SUPPLIES,4381.95,3546.07,3217.67,4727.57
30 -  FIRE,30250 - FIRE INSPECTION GENERAL,Expense,51 - SALARIES,51120 - PREMIUM PAY,4391.53,4649.86,5322.46,5895.41
31 -  POLICE,31280 - INFO MGT AND TECHNOLOGY,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,4391.96,16493.00,14168.85,14144.65
12 -  CIVIL RIGHTS,12100 - CIVIL RIGHTS,Expense,54 - PURCHASED SERVICES,54320 - COMMUNICATION DEVICE RPR MAIN,4397.37,6147.31,2841.31,2506.52
45 -  TRAFFIC ENGINEERING,45401 - TE COMM ADMIN,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,4401.81,7707.46,2767.76,2535.80
45 -  TRAFFIC ENGINEERING,45201 - TE STLIGHT ADMIN,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,4403.17,10513.19,4982.00,5672.10
45 -  TRAFFIC ENGINEERING,45303 - TE PAVE MARK DESIGN,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,4430.12,1984.72,3577.60,4207.86
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,4432.20,3375.27,9262.85,11885.73
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,4437.09,933.82,2603.23,891.26
51 -  PARKS,51241 - PARK MTC EAST PARKS,Expense,53 - SUPPLIES,53415 - TIRES,4437.45,1656.98,1228.10,1116.39
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,4444.88,0.00,0.00,0.00
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,54 - PURCHASED SERVICES,54555 - WORK STUDY SERVICES,4445.72,105.78,0.00,0.00
44 -  STREETS,44116 - ST TRANSFER STATION OTHER,Expense,53 - SUPPLIES,53215 - JANITORIAL SUPPLIES,4445.88,2786.59,5014.49,1486.14
14 -  COMMON COUNCIL,14100 - COMMON COUNCIL,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE,4456.00,7780.00,11079.00,3379.00
50 -  LIBRARY,50223751 - LIB COMM ENGAGE ADULT CENTRAL,Expense,53 - SUPPLIES,53155 - PROGRAM SUPPLIES,4461.39,22649.69,15818.83,24859.98
51 -  PARKS,51110 - PARK COM REC ADMIN,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP,4473.00,0.00,0.00,0.00
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Expense,53 - SUPPLIES,53250 - FOOD AND BEVERAGE,4480.11,0.00,1266.00,124.52
21 -  TREASURER,21100 - TREASURER,Expense,54 - PURCHASED SERVICES,54630 - ARMORED CAR SERVICES,4487.16,6201.34,7971.20,7117.94
40 -  ENGINEERING,40251 - ENG MAPPING GENERAL,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4489.00,6294.85,6172.90,5396.46
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Expense,51 - SALARIES,51130 - WORKERS COMPENSATION WAGES,4495.83,1605.56,10001.63,11649.11
45 -  TRAFFIC ENGINEERING,45880 - TE PED BIKE REGISTRATION,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,4501.11,177.21,2302.20,2007.35
31 -  POLICE,31294656 - MARSH COURT,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING,4516.00,4516.00,4516.00,16077.00
50 -  LIBRARY,50400758 - LIB FACILITIES SEQUOYA,Expense,53 - SUPPLIES,53325 - HVAC SUPPLIES,4520.37,5382.00,5604.58,928.75
31 -  POLICE,31283 - GENERAL ADMINISTRATION,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,4524.94,1311.92,3041.91,3857.53
62 -  COMMUNITY DEVELOPMENT,62443 - CMTY OUTREACH ACCESS RESOURCES,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,4531.86,1823.69,6574.05,6184.82
11 -  ATTORNEY,11100 - ATTY ORDINANCE ENFORCEMENT,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,4537.83,6583.72,6111.81,2449.44
30 -  FIRE,30110723 - FIRE GEN FIELD OP EMS TRAINING,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,4542.79,4259.87,3449.72,1948.43
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,4544.40,3768.68,5880.14,8918.13
30 -  FIRE,30270 - FIRE INVESTIGATION,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,4554.60,482.00,765.21,145.99
31 -  POLICE,31110 - CANINE,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,4561.00,214.20,0.00,2385.69
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,4563.75,6534.28,6605.42,12355.05
45 -  TRAFFIC ENGINEERING,45404 - TE COMM INSTALL OR REMOVE,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,4566.75,1545.53,678.77,732.55
50 -  LIBRARY,50223757 - LIB COMM ENGAGE ADULT PINNEY,Expense,54 - PURCHASED SERVICES,54695 - PROGRAM SERVICES,4570.00,8472.14,8125.16,3266.00
51 -  PARKS,51246 - PARK MTC CONSERVATION,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP,4573.00,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45881 - TE PED BIKE SAFETY EDUCATION,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4578.45,186.32,0.00,0.00
40 -  ENGINEERING,40126 - ENG STREETS FENCE MAINTENANCE,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES,4579.56,1778.71,0.00,1304.42
40 -  ENGINEERING,40121 - ENG STREETS GENERAL,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4598.31,4127.50,4480.97,9058.69
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4601.11,8242.53,11830.80,11016.18
44 -  STREETS,44331 - ST SNOW REMOVAL HAULING,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,4608.82,734.55,154.95,163.52
31 -  POLICE,31145 - INVESTIGATIVE SUPPORT GENERAL,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,4627.43,0.00,0.00,0.00
62 -  COMMUNITY DEVELOPMENT,62112 - HOUSING ASSISTANCE GF,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,4631.06,5782.54,1643.84,5760.48
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,51 - SALARIES,51120 - PREMIUM PAY,4647.99,2726.14,2349.65,2606.38
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,51 - SALARIES,51120 - PREMIUM PAY,4662.35,2347.15,1900.38,1333.17
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,53 - SUPPLIES,53415 - TIRES,4687.62,1664.92,0.00,486.23
31 -  POLICE,31125 - EAST,Expense,52 - BENEFITS,52711 - TUITION,4692.00,0.00,0.00,0.00
17 -  INFORMATION TECHNOLOGY,17100 - IT APPLICATION DEVELOP SUPPORT,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,4703.36,3989.56,5460.16,5942.08
30 -  FIRE,30110703 - FIRE GEN FIELD OP STATION 3,Expense,54 - PURCHASED SERVICES,54110 - NATURAL GAS,4712.75,3058.45,3338.33,3402.29
44 -  STREETS,44101 - ST SOLID WASTE ADMIN,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES,4718.68,5484.95,7144.68,6733.35
45 -  TRAFFIC ENGINEERING,45202 - TE STLIGHT PLAN AND REVIEW,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4723.79,2297.70,2626.32,2574.83
31 -  POLICE,31292 - RECORDS GENERAL,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,4728.66,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4731.83,1215.88,664.02,3348.97
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES,4732.98,9263.18,12581.82,13739.17
51 -  PARKS,51245 - PARK MTC CONSTRUCTION,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,4738.42,2808.79,3590.19,6748.25
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,57 - INTER DEPART CHARGES,57145 - ID CHARGE FROM TRAFFIC ENGINEE,4739.65,4305.87,3815.10,2754.84
65 -  PLANNING,65110 - PL NEIGHBORHOOD PLANNING,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE,4745.48,5087.37,6084.80,9765.47
45 -  TRAFFIC ENGINEERING,45220 - TE STLIGHT ONE CALL,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4748.23,6769.43,7927.29,7354.32
31 -  POLICE,31153 - FORENSICS,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,4757.20,0.00,0.00,0.00
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP,4772.00,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45801 - TE PED BIKE ADMIN,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4789.89,5424.40,5572.82,4004.34
31 -  POLICE,31299655 - WEST PD SUPPORT,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY,4799.56,0.00,0.00,0.00
31 -  POLICE,31145 - INVESTIGATIVE SUPPORT GENERAL,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,4803.42,2879.60,969.00,618.00
40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Expense,54 - PURCHASED SERVICES,54225 - ELEVATOR REPAIR,4807.90,4866.48,2631.67,4981.62
10 -  ASSESSOR,10120 - ASSESSOR PERSONAL PROPERTY,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4815.12,4879.33,5167.05,5218.47
40 -  ENGINEERING,40139 - ENG MEDIAN MAINTENANCE,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,4818.31,10069.90,2886.57,3695.62
31 -  POLICE,31102 - FIELD GENERAL OVERALL,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4828.95,0.00,0.00,0.00
44 -  STREETS,44334 - ST SNOW MISCELLANEOUS,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4846.39,5176.25,188.25,351.62
30 -  FIRE,30113 - FIRE HEAVY URBAN RESCUE TEAM,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,4847.02,6038.69,1169.39,1135.68
50 -  LIBRARY,50100757 - LIB PUBLIC SERVICE PINNEY,Expense,51 - SALARIES,51120 - PREMIUM PAY,4852.49,5307.72,5450.24,5256.95
40 -  ENGINEERING,40251 - ENG MAPPING GENERAL,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,4863.86,8293.69,9604.56,8324.35
30 -  FIRE,30110 - FIRE GEN FIELD OP,Expense,54 - PURCHASED SERVICES,54320 - COMMUNICATION DEVICE RPR MAIN,4865.98,93.50,5624.03,2167.04
20 -  MUNICIPAL COURT,20100 - MUNICIPAL COURT,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE,4869.12,5072.21,6687.75,6807.24
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE,4886.79,3453.91,6188.37,6741.62
44 -  STREETS,44501 - ST STREET REPAIR MAINT ADMIN,Expense,54 - PURCHASED SERVICES,54113 - WATER,4889.06,6198.32,5676.36,5885.50
44 -  STREETS,44401 - ST STREET SWEEPING ADMIN,Expense,54 - PURCHASED SERVICES,54113 - WATER,4889.10,6198.32,5676.36,2547.20
31 -  POLICE,31200 - POLICE SUPPORT,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,4889.67,5980.10,1162.12,1530.49
45 -  TRAFFIC ENGINEERING,45104 - TE SIGNING INSTALL OR REMOVE,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,4890.10,10100.89,8218.96,9332.99
40 -  ENGINEERING,40129 - ENG STREETS EXCAVATION PERMIT,Expense,54 - PURCHASED SERVICES,54645 - CONSULTING SERVICES,4897.37,2261.71,685.92,9330.40
31 -  POLICE,31166657 - TRAINING CENTER BLDG,Expense,54 - PURCHASED SERVICES,54113 - WATER,4905.06,6003.29,6486.71,6643.75
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Expense,52 - BENEFITS,52716 - POST EMPLOYMENT HEALTH PLANS,4922.92,5361.30,5591.58,5647.49
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Expense,53 - SUPPLIES,53155 - PROGRAM SUPPLIES,4933.47,20953.93,8820.91,11790.59
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE,4943.76,2507.67,1599.79,679.29
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,54 - PURCHASED SERVICES,54510 - RECRUITMENT,4946.24,2023.00,5182.21,4351.71
31 -  POLICE,31156 - PARKING,Expense,51 - SALARIES,51120 - PREMIUM PAY,4958.87,18.00,415.40,420.60
45 -  TRAFFIC ENGINEERING,45881 - TE PED BIKE SAFETY EDUCATION,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,4970.12,209.36,0.00,0.00
