Organization,Agency,Service,Subservice,Location
45804 - TE PED BIKE INSTALL OR REMOVE,45 -  TRAFFIC ENGINEERING,458 -  BICYCLE & PEDESTRIAN SERVICES,4504 -  INSTALATION OR REMOVAL,0000 -  UNDEFINED
45805 - TE PED BIKE MAINTENANCE,45 -  TRAFFIC ENGINEERING,458 -  BICYCLE & PEDESTRIAN SERVICES,4505 -  MAINTENANCE AND REPAIR,0000 -  UNDEFINED
45880 - TE PED BIKE REGISTRATION,45 -  TRAFFIC ENGINEERING,458 -  BICYCLE & PEDESTRIAN SERVICES,4580 -  BICYCLE REGISTRATION,0000 -  UNDEFINED
45881 - TE PED BIKE SAFETY EDUCATION,45 -  TRAFFIC ENGINEERING,458 -  BICYCLE & PEDESTRIAN SERVICES,4581 -  SAFETY EDUCATION,0000 -  UNDEFINED
45882 - TE PED BIKE PATH LIGHTING,45 -  TRAFFIC ENGINEERING,458 -  BICYCLE & PEDESTRIAN SERVICES,4582 -  BIKE PATH LIGHTING,0000 -  UNDEFINED
50100 - LIB PUBLIC SERVICE,50 -  LIBRARY,501 -  PUBLIC SERVICE,0000 -  UNDEFINED,0000 -  UNDEFINED
50100751 - LIB PUBLIC SERVICE CENTRAL,50 -  LIBRARY,501 -  PUBLIC SERVICE,0000 -  UNDEFINED,0751 -  CENTRAL LIBRARY
50100752 - LIB PUBLIC SERVICE HAWTHORNE,50 -  LIBRARY,501 -  PUBLIC SERVICE,0000 -  UNDEFINED,0752 -  HAWTHORNE BRANCH
50100753 - LIB PUBLIC SERVICE ASHMAN,50 -  LIBRARY,501 -  PUBLIC SERVICE,0000 -  UNDEFINED,0753 -  ASHMAN BRANCH
50100754 - LIB PUBLIC SERVICE LAKEVIEW,50 -  LIBRARY,501 -  PUBLIC SERVICE,0000 -  UNDEFINED,0754 -  LAKEVIEW BRANCH
50100755 - LIB PUBLIC SERVICE MEADOWRIDGE,50 -  LIBRARY,501 -  PUBLIC SERVICE,0000 -  UNDEFINED,0755 -  MEADOWRIDGE BRANCH
50100756 - LIB PUBLIC SERVICE MONROE,50 -  LIBRARY,501 -  PUBLIC SERVICE,0000 -  UNDEFINED,0756 -  MONROE STREET BRANCH
50100757 - LIB PUBLIC SERVICE PINNEY,50 -  LIBRARY,501 -  PUBLIC SERVICE,0000 -  UNDEFINED,0757 -  PINNEY BRANCH
50100758 - LIB PUBLIC SERVICE SEQUOYA,50 -  LIBRARY,501 -  PUBLIC SERVICE,0000 -  UNDEFINED,0758 -  SEQUOYA BRANCH
50100759 - LIB PUBLIC SERVICE SMB,50 -  LIBRARY,501 -  PUBLIC SERVICE,0000 -  UNDEFINED,0759 -  SOUTH MADISON BRANCH
50200 - LIB COMM ENGAGE,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,0000 -  UNDEFINED,0000 -  UNDEFINED
50220 - LIB COMM ENGAGE PRESCHOOL,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5020 -  PRESCHOOL,0000 -  UNDEFINED
50220751 - LIB COMM ENGAGE PRESCL CENTR,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5020 -  PRESCHOOL,0751 -  CENTRAL LIBRARY
50220752 - LIB COMM ENGAGE PRESCL HAW,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5020 -  PRESCHOOL,0752 -  HAWTHORNE BRANCH
50220753 - LIB COMM ENGAGE PRESCL ASHMAN,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5020 -  PRESCHOOL,0753 -  ASHMAN BRANCH
50220754 - LIB COMM ENGAGE PRESCL LAK,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5020 -  PRESCHOOL,0754 -  LAKEVIEW BRANCH
50220755 - LIB COMM ENGAGE PRESCL MEA,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5020 -  PRESCHOOL,0755 -  MEADOWRIDGE BRANCH
50220756 - LIB COMM ENGAGE PRESCL MONROE,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5020 -  PRESCHOOL,0756 -  MONROE STREET BRANCH
50220757 - LIB COMM ENGAGE PRESCL PINNEY,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5020 -  PRESCHOOL,0757 -  PINNEY BRANCH
50220758 - LIB COMM ENGAGE PRESCL SEQUOYA,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5020 -  PRESCHOOL,0758 -  SEQUOYA BRANCH
50220759 - LIB COMM ENGAGE PRESCL SMB,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5020 -  PRESCHOOL,0759 -  SOUTH MADISON BRANCH
50221 - LIB COMM ENGAGE YOUTH,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5021 -  YOUTH,0000 -  UNDEFINED
50221751 - LIB COMM ENGAGE YOUTH CENTRAL,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5021 -  YOUTH,0751 -  CENTRAL LIBRARY
50221752 - LIB COMM ENGAGE YOUTH HAW,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5021 -  YOUTH,0752 -  HAWTHORNE BRANCH
50221753 - LIB COMM ENGAGE YOUTH ASHMAN,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5021 -  YOUTH,0753 -  ASHMAN BRANCH
50221754 - LIB COMM ENGAGE YOUTH LAKEVIEW,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5021 -  YOUTH,0754 -  LAKEVIEW BRANCH
50221755 - LIB COMM ENGAGE YOUTH MEA,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5021 -  YOUTH,0755 -  MEADOWRIDGE BRANCH
50221756 - LIB COMM ENGAGE YOUTH MONROE,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5021 -  YOUTH,0756 -  MONROE STREET BRANCH
50221757 - LIB COMM ENGAGE YOUTH PINNEY,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5021 -  YOUTH,0757 -  PINNEY BRANCH
50221758 - LIB COMM ENGAGE YOUTH SEQ,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5021 -  YOUTH,0758 -  SEQUOYA BRANCH
50221759 - LIB COMM ENGAGE YOUTH SMB,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5021 -  YOUTH,0759 -  SOUTH MADISON BRANCH
50222 - LIB COMM ENGAGE TEEN,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5022 -  TEEN,0000 -  UNDEFINED
50222751 - LIB COMM ENGAGE TEEN CENTRAL,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5022 -  TEEN,0751 -  CENTRAL LIBRARY
50222752 - LIB COMM ENGAGE TEEN HAWTHRONE,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5022 -  TEEN,0752 -  HAWTHORNE BRANCH
50222753 - LIB COMM ENGAGE TEEN ASHMAN,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5022 -  TEEN,0753 -  ASHMAN BRANCH
50222754 - LIB COMM ENGAGE TEEN LAKEVIEW,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5022 -  TEEN,0754 -  LAKEVIEW BRANCH
50222755 - LIB COMM ENGAGE TEEN MEA,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5022 -  TEEN,0755 -  MEADOWRIDGE BRANCH
50222756 - LIB COMM ENGAGE TEEN MONROE,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5022 -  TEEN,0756 -  MONROE STREET BRANCH
50222757 - LIB COMM ENGAGE TEEN PINNEY,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5022 -  TEEN,0757 -  PINNEY BRANCH
50222758 - LIB COMM ENGAGE TEEN SEQUOYA,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5022 -  TEEN,0758 -  SEQUOYA BRANCH
50222759 - LIB COMM ENGAGE TEEN SMB,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5022 -  TEEN,0759 -  SOUTH MADISON BRANCH
50223 - LIB COM ENGAGE ADULT,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5023 -  ADULT,0000 -  UNDEFINED
50223751 - LIB COMM ENGAGE ADULT CENTRAL,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5023 -  ADULT,0751 -  CENTRAL LIBRARY
50223752 - LIB COMM ENGAGE ADULT HAW,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5023 -  ADULT,0752 -  HAWTHORNE BRANCH
50223753 - LIB COMM ENGAGE ADULT ASHMAN,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5023 -  ADULT,0753 -  ASHMAN BRANCH
50223754 - LIB COMM ENGAGE ADULT LAKEVIEW,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5023 -  ADULT,0754 -  LAKEVIEW BRANCH
50223755 - LIB COMM ENGAGE ADULT MEA,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5023 -  ADULT,0755 -  MEADOWRIDGE BRANCH
50223756 - LIB COMM ENGAGE ADULT MONROE,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5023 -  ADULT,0756 -  MONROE STREET BRANCH
50223757 - LIB COMM ENGAGE ADULT PINNEY,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5023 -  ADULT,0757 -  PINNEY BRANCH
50223758 - LIB COMM ENGAGE ADULT SEQ,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5023 -  ADULT,0758 -  SEQUOYA BRANCH
50223759 - LIB COMM ENGAGE ADULT SMB,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5023 -  ADULT,0759 -  SOUTH MADISON BRANCH
50224 - LIB COMM ENGAGE ALL AGES,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5024 -  ALL AGES,0000 -  UNDEFINED
50224751 - LIB COMM ENGAGE ALL AGES CEN,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5024 -  ALL AGES,0751 -  CENTRAL LIBRARY
50224752 - LIB COMM ENGAGE ALL AGES HAW,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5024 -  ALL AGES,0752 -  HAWTHORNE BRANCH
50224753 - LIB COMM ENGAGE ALL AGES ASH,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5024 -  ALL AGES,0753 -  ASHMAN BRANCH
50224754 - LIB COMM ENGAGE ALL AGES LAK,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5024 -  ALL AGES,0754 -  LAKEVIEW BRANCH
50224755 - LIB COMM ENGAGE ALL AGES MEA,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5024 -  ALL AGES,0755 -  MEADOWRIDGE BRANCH
50224756 - LIB COMM ENGAGE ALL AGES MON,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5024 -  ALL AGES,0756 -  MONROE STREET BRANCH
50224757 - LIB COMM ENGAGE ALL AGES PIN,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5024 -  ALL AGES,0757 -  PINNEY BRANCH
50224758 - LIB COMM ENGAGE ALL AGES SEQ,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5024 -  ALL AGES,0758 -  SEQUOYA BRANCH
50224759 - LIB COMM ENGAGE ALL AGES SMB,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5024 -  ALL AGES,0759 -  SOUTH MADISON BRANCH
50225751 - LIB COMM ENGAGE BUBBLER CEN,50 -  LIBRARY,502 -  COMMUNITY ENGAGEMENT,5025 -  BUBBLER PROGRAM,0751 -  CENTRAL LIBRARY
50300 - LIB COL RES & ACCESS,50 -  LIBRARY,503 -  COL RES & ACCESS,0000 -  UNDEFINED,0000 -  UNDEFINED
50300751 - LIB COL RES & ACCESS CENTRAL,50 -  LIBRARY,503 -  COL RES & ACCESS,0000 -  UNDEFINED,0751 -  CENTRAL LIBRARY
50300752 - LIB COL RES & ACCESS HAW,50 -  LIBRARY,503 -  COL RES & ACCESS,0000 -  UNDEFINED,0752 -  HAWTHORNE BRANCH
50300753 - LIB COL RES & ACCESS ASHMAN,50 -  LIBRARY,503 -  COL RES & ACCESS,0000 -  UNDEFINED,0753 -  ASHMAN BRANCH
50300754 - LIB COL RES & ACCESS LAKEVIEW,50 -  LIBRARY,503 -  COL RES & ACCESS,0000 -  UNDEFINED,0754 -  LAKEVIEW BRANCH
50300755 - LIB COL RES & ACCESS MEA,50 -  LIBRARY,503 -  COL RES & ACCESS,0000 -  UNDEFINED,0755 -  MEADOWRIDGE BRANCH
50300756 - LIB COL RES & ACCESS MONROE,50 -  LIBRARY,503 -  COL RES & ACCESS,0000 -  UNDEFINED,0756 -  MONROE STREET BRANCH
50300757 - LIB COL RES & ACCESS PINNEY,50 -  LIBRARY,503 -  COL RES & ACCESS,0000 -  UNDEFINED,0757 -  PINNEY BRANCH
50300758 - LIB COL RES & ACCESS SEQUOYA,50 -  LIBRARY,503 -  COL RES & ACCESS,0000 -  UNDEFINED,0758 -  SEQUOYA BRANCH
50300759 - LIB COL RES & ACCESS SMB,50 -  LIBRARY,503 -  COL RES & ACCESS,0000 -  UNDEFINED,0759 -  SOUTH MADISON BRANCH
50400 - LIB FACILITIES,50 -  LIBRARY,504 -  FACILITIES,0000 -  UNDEFINED,0000 -  UNDEFINED
50400751 - LIB FACILITIES CENTRAL,50 -  LIBRARY,504 -  FACILITIES,0000 -  UNDEFINED,0751 -  CENTRAL LIBRARY
50400752 - LIB FACILITIES HAWTHORNE,50 -  LIBRARY,504 -  FACILITIES,0000 -  UNDEFINED,0752 -  HAWTHORNE BRANCH
50400753 - LIB FACILITIES ASHMAN,50 -  LIBRARY,504 -  FACILITIES,0000 -  UNDEFINED,0753 -  ASHMAN BRANCH
50400754 - LIB FACILITIES LAKEVIEW,50 -  LIBRARY,504 -  FACILITIES,0000 -  UNDEFINED,0754 -  LAKEVIEW BRANCH
50400755 - LIB FACILITIES MEADOWRIDGE,50 -  LIBRARY,504 -  FACILITIES,0000 -  UNDEFINED,0755 -  MEADOWRIDGE BRANCH
50400756 - LIB FACILITIES MONROE,50 -  LIBRARY,504 -  FACILITIES,0000 -  UNDEFINED,0756 -  MONROE STREET BRANCH
50400757 - LIB FACILITIES PINNEY,50 -  LIBRARY,504 -  FACILITIES,0000 -  UNDEFINED,0757 -  PINNEY BRANCH
50400758 - LIB FACILITIES SEQUOYA,50 -  LIBRARY,504 -  FACILITIES,0000 -  UNDEFINED,0758 -  SEQUOYA BRANCH
50400759 - LIB FACILITIES SOUTH MADISON,50 -  LIBRARY,504 -  FACILITIES,0000 -  UNDEFINED,0759 -  SOUTH MADISON BRANCH
50400760 - LIB FAC SUPPORT CENTER BADGER,50 -  LIBRARY,504 -  FACILITIES,0000 -  UNDEFINED,0760 -  SUPPORT CENTER BADGER ROAD
50500 - LIB ADMIN & MARKETING,50 -  LIBRARY,505 -  ADMIN & MARKETING,0000 -  UNDEFINED,0000 -  UNDEFINED
51110 - PARK COM REC ADMIN,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5110 -  ADMINISTRATION,0000 -  UNDEFINED
51147 - PARK RANGERS,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5147 -  PARK RANGERS,0000 -  UNDEFINED
51150 - PARK COM REC COM SERVICES,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5150 -  COMMUNITY SERVICES,0000 -  UNDEFINED
51160 - PARK COM REC REC SERVICES,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5160 -  RECREATION SERVICES,0000 -  UNDEFINED
51170 - PARK COM REC GOODMAN POOL,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5170 -  GOODMAN POOL,0000 -  UNDEFINED
51180 - PARK COM REC OLBRICH GENERAL,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5180 -  OLBRICH GENERAL,0000 -  UNDEFINED
51181 - PARK COM REC OLBRICH HORTICULT,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5181 -  OLBRICH HORTICULTURE,0000 -  UNDEFINED
51182 - PARK COM REC OLBRICH MAINTENAN,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5182 -  OLBRICH MAINTENANCE,0000 -  UNDEFINED
51183 - PARK COM REC OLBRICH VOLUNTEER,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5183 -  OLBRICH VOLUNTEER,0000 -  UNDEFINED
51184 - PARK COM REC OLBRICH CONSERVAT,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5184 -  OLBRICH CONSERVATORY,0000 -  UNDEFINED
51185 - PARK COM REC OLBRICH PK BEAUTI,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5185 -  OLBRICH PARKS BEAUTIFICATION,0000 -  UNDEFINED
51190 - PARK COM REC WPCRC GENERAL,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5190 -  WPCRC GENERAL,0000 -  UNDEFINED
51191 - PARK COM REC WPCRC MAINTENANCE,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5191 -  WPCRC MAINTENANCE,0000 -  UNDEFINED
51192 - PARK COM REC WPCRC PROGRAMS,51 -  PARKS,511 -  COMMUNITY RECREATION SERVICES,5192 -  WPCRC PROGRAMS,0000 -  UNDEFINED
51210 - PARK MTC FOREST ADMIN,51 -  PARKS,512 -  PARK MAINTENANCE AND FORESTRY,5110 -  ADMINISTRATION,0000 -  UNDEFINED
51220 - PARK MTC FORESTRY GENERAL,51 -  PARKS,512 -  PARK MAINTENANCE AND FORESTRY,5120 -  FORESTRY GENERAL,0000 -  UNDEFINED
51221 - PARK MTC FORESTRY PLANNING,51 -  PARKS,512 -  PARK MAINTENANCE AND FORESTRY,5121 -  FORESTRY OPERATIONS,0000 -  UNDEFINED
51230 - PARK MTC FACILITY MAINTENANCE,51 -  PARKS,512 -  PARK MAINTENANCE AND FORESTRY,5130 -  FACILITY MAINTENANCE,0000 -  UNDEFINED
51240 - PARK MTC PARKS MAINTENANCE,51 -  PARKS,512 -  PARK MAINTENANCE AND FORESTRY,5140 -  PARKS MAINTENANCE,0000 -  UNDEFINED
51241 - PARK MTC EAST PARKS,51 -  PARKS,512 -  PARK MAINTENANCE AND FORESTRY,5141 -  EAST PARKS,0000 -  UNDEFINED
51242 - PARK MTC WEST PARKS,51 -  PARKS,512 -  PARK MAINTENANCE AND FORESTRY,5142 -  WEST PARKS,0000 -  UNDEFINED
51243 - PARK MTC CENTRAL PARKS,51 -  PARKS,512 -  PARK MAINTENANCE AND FORESTRY,5143 -  CENTRAL PARKS,0000 -  UNDEFINED
51244 - PARK MTC MALL CONCOURSE,51 -  PARKS,512 -  PARK MAINTENANCE AND FORESTRY,5144 -  MALL CONCOURSE,0000 -  UNDEFINED
51245 - PARK MTC CONSTRUCTION,51 -  PARKS,512 -  PARK MAINTENANCE AND FORESTRY,5145 -  PARKS CONSTRUCTION,0000 -  UNDEFINED
51246 - PARK MTC CONSERVATION,51 -  PARKS,512 -  PARK MAINTENANCE AND FORESTRY,5146 -  PARKS CONSERVATION,0000 -  UNDEFINED
51247 - PARK MTC PARK RANGERS,51 -  PARKS,512 -  PARK MAINTENANCE AND FORESTRY,5147 -  PARK RANGERS,0000 -  UNDEFINED
51310 - PARK PLANNING DEVELOP ADMIN,51 -  PARKS,513 -  PLANNING AND DEVELOPMENT,5110 -  ADMINISTRATION,0000 -  UNDEFINED
60100 - BI INSPECTION,60 -  BUILDING INSPECTION,601 -  INSPECTION,0000 -  UNDEFINED,0000 -  UNDEFINED
60110 - BI INSPECTION EDUCATION,60 -  BUILDING INSPECTION,601 -  INSPECTION,6010 -  INSPECTION EDUCATION,0000 -  UNDEFINED
60200 - BI HEALTH AND WLFARE,60 -  BUILDING INSPECTION,602 -  HEALTH AND WELFARE,0000 -  UNDEFINED,0000 -  UNDEFINED
60300 - BI ZONING AND SIGNS,60 -  BUILDING INSPECTION,603 -  ZONING AND SIGNS,0000 -  UNDEFINED,0000 -  UNDEFINED
60400 - BI CONSUMER PROTECTION,60 -  BUILDING INSPECTION,604 -  CONSUMER PROTECTION,0000 -  UNDEFINED,0000 -  UNDEFINED
60500 - BI SYSTEMATIC CODE ENFORCEMENT,60 -  BUILDING INSPECTION,605 -  SYSTEMATIC CODE ENFORCEMENT,0000 -  UNDEFINED,0000 -  UNDEFINED
62110 - AFFORDABLE HOUSING GENERAL GL,62 -  COMMUNITY DEVELOPMENT,621 -  AFFORDABLE HOUSING,6210 -  AFFORDABLE HOUSING GENERAL,0000 -  UNDEFINED
62111 - HOUSING SUPPLY GF,62 -  COMMUNITY DEVELOPMENT,621 -  AFFORDABLE HOUSING,6211 -  HOUSING SUPPLY,0000 -  UNDEFINED
62112 - HOUSING ASSISTANCE GF,62 -  COMMUNITY DEVELOPMENT,621 -  AFFORDABLE HOUSING,6212 -  HOUSING ASSISTANCE,0000 -  UNDEFINED
62220 - ECON DEV EMPLOYMT OPPS GEN GF,62 -  COMMUNITY DEVELOPMENT,622 -  ECON DEV AND EMP OPPORTUNITIES,6220 -  ECON DEV EMP OPPORTUNITIES GEN,0000 -  UNDEFINED
62221 - JOB CREATN AND CMTY BUS DEV GF,62 -  COMMUNITY DEVELOPMENT,622 -  ECON DEV AND EMP OPPORTUNITIES,6221 -  JOB CREATION AND CMTY BUS DEV,0000 -  UNDEFINED
62222 - SM BUS MICROENTERPRISE DEV GF,62 -  COMMUNITY DEVELOPMENT,622 -  ECON DEV AND EMP OPPORTUNITIES,6222 -  SM BUS MICROENTERPRISE DEVLPMT,0000 -  UNDEFINED
62223 - ADULT WKFORCE PREPAREDNESS GF,62 -  COMMUNITY DEVELOPMENT,622 -  ECON DEV AND EMP OPPORTUNITIES,6223 -  ADULT WORKFORCE PREPAREDNESS,0000 -  UNDEFINED
62224 - YOUTH EMPLMT OPPS AND TRAINING,62 -  COMMUNITY DEVELOPMENT,622 -  ECON DEV AND EMP OPPORTUNITIES,6224 -  YOUTH EMPLMT OPPS AND TRAINING,0000 -  UNDEFINED
62330 - STRONG HEALTHY NBRHOODS GEN GF,62 -  COMMUNITY DEVELOPMENT,623 -  STRONG HEALTHY NEIGHBORHOODS,6230 -  STRONG HEALTHY NBRHOODS GEN,0000 -  UNDEFINED
62331 - NBRHD CTRS AND CMTY GARDENS GF,62 -  COMMUNITY DEVELOPMENT,623 -  STRONG HEALTHY NEIGHBORHOODS,6231 -  NBRHOOD CTRS AND CMTY GARDENS,0000 -  UNDEFINED
62331630 - MEADOWOOD NEIGHBORHOOD CNTR,62 -  COMMUNITY DEVELOPMENT,623 -  STRONG HEALTHY NEIGHBORHOODS,6231 -  NBRHOOD CTRS AND CMTY GARDENS,0630 -  MEADOWOOD NBRHD CNTR
62331631 - THERESA TERRACE NBRHD CENTER,62 -  COMMUNITY DEVELOPMENT,623 -  STRONG HEALTHY NEIGHBORHOODS,6231 -  NBRHOOD CTRS AND CMTY GARDENS,0631 -  THERESA TERRACE NBRHD CNTR
62331632 - PE/PR NBRHD EMPLOYMENT CENTER,62 -  COMMUNITY DEVELOPMENT,623 -  STRONG HEALTHY NEIGHBORHOODS,6231 -  NBRHOOD CTRS AND CMTY GARDENS,0632 -  PE/PR NBRHD EMPLOYMENT CNTR
62332 - CAP IMPRVMTS FOR CMTY ORGS GF,62 -  COMMUNITY DEVELOPMENT,623 -  STRONG HEALTHY NEIGHBORHOODS,6232 -  CAP IMPROVEMENTS FOR CMTY ORGS,0000 -  UNDEFINED
62333 - NBRHD REVITLZTN PLANS PROJS GF,62 -  COMMUNITY DEVELOPMENT,623 -  STRONG HEALTHY NEIGHBORHOODS,6233 -  NBRHD REVITLZTN PLANS PROJECTS,0000 -  UNDEFINED
62334 - NBRHD SPPT SVCS PLANNING CNCLS,62 -  COMMUNITY DEVELOPMENT,623 -  STRONG HEALTHY NEIGHBORHOODS,6234 -  NBRHD SPPT SVCS PLANNING CNCLS,0000 -  UNDEFINED
62440 - COMMUNITY SUPPORT SVCS GENERAL,62 -  COMMUNITY DEVELOPMENT,624 -  COMMUNITY SUPPORT SERVICES,6240 -  COMMUNITY SUPPORT SVCS GENERAL,0000 -  UNDEFINED
62441 - YOUTH SERVICES,62 -  COMMUNITY DEVELOPMENT,624 -  COMMUNITY SUPPORT SERVICES,6241 -  YOUTH SERVICES,0000 -  UNDEFINED
62442 - CRISIS SUPPORT SERVICES,62 -  COMMUNITY DEVELOPMENT,624 -  COMMUNITY SUPPORT SERVICES,6242 -  CRISIS SUPPORT SERVICES,0000 -  UNDEFINED
62443 - CMTY OUTREACH ACCESS RESOURCES,62 -  COMMUNITY DEVELOPMENT,624 -  COMMUNITY SUPPORT SERVICES,6243 -  CMTY OUTREACH ACCESS RESOURCE,0000 -  UNDEFINED
62446 - CHILDREN AND FAMILIES,62 -  COMMUNITY DEVELOPMENT,624 -  COMMUNITY SUPPORT SERVICES,6246 -  CHILDREN AND FAMILIES,0000 -  UNDEFINED
62447 - SERVICES FOR OLDER ADULTS,62 -  COMMUNITY DEVELOPMENT,624 -  COMMUNITY SUPPORT SERVICES,6247 -  SERVICES FOR OLDER ADULTS,0000 -  UNDEFINED
62448 - CHILD CARE SERVICES,62 -  COMMUNITY DEVELOPMENT,624 -  COMMUNITY SUPPORT SERVICES,6248 -  CHILD CARE SERVICES,0000 -  UNDEFINED
62461 - MADISON OUT OF SCHOOL TIME,62 -  COMMUNITY DEVELOPMENT,624 -  COMMUNITY SUPPORT SERVICES,6261 -  MADISON OUT OF SCHOOL TIME,0000 -  UNDEFINED
62471 - SENIOR CENTER,62 -  COMMUNITY DEVELOPMENT,624 -  COMMUNITY SUPPORT SERVICES,6271 -  SENIOR CENTER,0000 -  UNDEFINED
62472 - SENIOR CENTER FOUNDATION,62 -  COMMUNITY DEVELOPMENT,624 -  COMMUNITY SUPPORT SERVICES,6272 -  SENIOR CTR FOUNDATION,0000 -  UNDEFINED
62473 - SENIOR CENTER OASIS GRANT,62 -  COMMUNITY DEVELOPMENT,624 -  COMMUNITY SUPPORT SERVICES,6273 -  SENIOR CENTER OASIS GRANT,0000 -  UNDEFINED
62474 - AGING MASTERY PRGM,62 -  COMMUNITY DEVELOPMENT,624 -  COMMUNITY SUPPORT SERVICES,6274 -  AGING MASTERY PRGM,0000 -  UNDEFINED
62550 - CD DIVISION 26 PRGM ADMIN,62 -  COMMUNITY DEVELOPMENT,625 -  OVERALL PROGRAM ADMINISTRATION,6250 -  CD DIVISION 26 PRGM ADMIN,0000 -  UNDEFINED
62551 - CD DIVISION 27 PRGM ADMIN,62 -  COMMUNITY DEVELOPMENT,625 -  OVERALL PROGRAM ADMINISTRATION,6251 -  CD DIVISION 27 PRGM ADMIN,0000 -  UNDEFINED
62560 - GREEN MADISON GF,62 -  COMMUNITY DEVELOPMENT,625 -  OVERALL PROGRAM ADMINISTRATION,6260 -  GREEN MADISON,0000 -  UNDEFINED
63110 - EDD ECON REVITALIZATION LOANS,63 -  ECONOMIC DEVELOPMENT,631 -  ECONOMIC REVITALIZATION,6310 -  LOANS,0000 -  UNDEFINED
63111 - EDD ECON REVITALIZATION GRANTS,63 -  ECONOMIC DEVELOPMENT,631 -  ECONOMIC REVITALIZATION,6311 -  GRANTS,0000 -  UNDEFINED
63112 - EDD ECON REVITALIZATION REV BO,63 -  ECONOMIC DEVELOPMENT,631 -  ECONOMIC REVITALIZATION,6312 -  REVENUE BONDS,0000 -  UNDEFINED
